timestamp,leftDistance,rightDistance,collisionFrames,collisionEvents,currentFPS
0.108,0.1972,0.1997,0,0,23.49
0.181,0.1972,0.1997,0,0,68.68
0.292,0.1972,0.1997,0,0,72.06
0.389,0.1972,0.1997,0,0,72.08
0.486,0.1972,0.1997,0,0,72
0.583,0.1972,0.1997,0,0,72.05
0.68,0.1972,0.1997,0,0,71.81
0.791,0.1972,0.1997,0,0,72.22
0.882,0.1972,0.1997,0,0,33.24
0.986,0.1972,0.1997,0,0,19.06
1.095,0.1972,0.1997,0,0,36.78
1.207,0.1972,0.1997,0,0,35.74
1.29,0.1972,0.1997,0,0,36.38
1.401,0.1972,0.1997,0,0,35.83
1.484,0.1972,0.1997,0,0,36.12
1.596,0.1972,0.1997,0,0,35.76
1.708,0.1972,0.1997,0,0,35.88
1.791,0.1972,0.1997,0,0,35.95
1.903,0.1972,0.1997,0,0,35.88
1.986,0.1972,0.1997,0,0,35.89
2.098,0.1972,0.1997,0,0,35.81
2.182,0.1972,0.1997,0,0,35.72
2.294,0.1972,0.1997,0,0,35.76
2.405,0.1972,0.1997,0,0,36.03
2.488,0.1972,0.1997,0,0,35.84
2.587,0.1972,0.1997,0,0,50.91
2.686,0.1972,0.1997,0,0,70.39
2.784,0.1972,0.1997,0,0,71.56
2.882,0.1972,0.1997,0,0,71.41
2.993,0.1972,0.1997,0,0,72.15
3.09,0.1972,0.1997,0,0,72.01
3.187,0.1972,0.1997,0,0,71.93
3.284,0.1972,0.1997,0,0,72.29
3.382,0.1972,0.1997,0,0,71.78
3.812,0.1972,0.1997,0,0,18.58
3.832,0.1972,0.1997,0,0,50.88
3.846,0.1972,0.1997,0,0,73.02
3.859,0.1972,0.1997,0,0,71.78
3.887,0.1972,0.1997,0,0,71.37
3.988,0.1972,0.1997,0,0,69.72
4.082,0.1972,0.1997,0,0,74.5
4.193,0.1972,0.1997,0,0,71.84
4.29,0.1972,0.1997,0,0,72.02
4.388,0.1972,0.1997,0,0,71.94
4.485,0.1972,0.1997,0,0,71.87
4.582,0.1972,0.1997,0,0,72.09
4.693,0.1972,0.1997,0,0,72.07
4.791,0.1972,0.1997,0,0,71.6
4.888,0.1972,0.1997,0,0,71.91
4.985,0.1972,0.1997,0,0,72.25
