timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
0.127,0.0451,0.026,0,0,20.38
0.183,0.0451,0.026,0,0,72
0.293,0.0451,0.026,0,0,72.5
0.39,0.0451,0.026,0,0,72.06
0.487,0.0451,0.026,0,0,72.08
0.585,0.0451,0.026,0,0,71.87
0.682,0.0451,0.026,0,0,72.21
0.793,0.0451,0.026,0,0,71.92
0.897,0.0451,0.026,0,0,38.37
0.993,0.0451,0.026,0,0,72.78
1.09,0.0451,0.026,0,0,72.53
1.188,0.0451,0.026,0,0,71.57
1.285,0.0451,0.026,0,0,72.02
1.382,0.0451,0.026,0,0,71.8
1.494,0.0451,0.026,0,0,71.95
1.592,0.0451,0.026,0,0,71.42
1.688,0.0451,0.026,0,0,72.42
1.786,0.0451,0.026,0,0,71.84
1.883,0.0451,0.026,0,0,72.15
1.983,0.0451,0.026,0,0,69.76
2.091,0.0451,0.026,0,0,73.95
2.189,0.0451,0.026,0,0,71.76
2.286,0.0451,0.026,0,0,72.05
2.384,0.0451,0.026,0,0,71.71
2.481,0.0451,0.026,0,0,72.04
2.592,0.0451,0.026,0,0,71.92
2.69,0.0451,0.026,0,0,71.23
2.786,0.0451,0.026,0,0,72.82
2.884,0.0451,0.026,0,0,71.96
2.981,0.0451,0.026,0,0,71.86
3.092,0.0451,0.026,0,0,71.99
3.19,0.0451,0.026,0,0,71.67
3.287,0.0451,0.026,0,0,72.21
3.384,0.0451,0.026,0,0,71.91
3.481,0.0451,0.026,0,0,71.94
3.593,0.0451,0.026,0,0,71.94
3.69,0.0451,0.026,0,0,72.15
3.787,0.0451,0.026,0,0,71.55
3.884,0.0451,0.026,0,0,72.26
3.982,0.0451,0.026,0,0,71.69
4.093,0.0451,0.026,0,0,72.23
4.19,0.0451,0.026,0,0,71.85
4.287,0.0451,0.026,0,0,72
4.385,0.0451,0.026,0,0,71.96
4.482,0.0451,0.026,0,0,72.12
4.593,0.0451,0.026,0,0,71.94
4.69,0.0451,0.026,0,0,71.8
4.788,0.0451,0.026,0,0,72.03
4.885,0.0451,0.026,0,0,72.18
