timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
0.107,0.0451,0.026,0,0,23.71
0.19,0.0451,0.026,0,0,23.97
0.29,0.0451,0.026,0,0,100.26
0.385,0.0451,0.026,0,0,156.68
0.483,0.0451,0.026,0,0,153.65
0.588,0.0451,0.026,0,0,162.47
0.683,0.0451,0.026,0,0,167.79
0.786,0.0451,0.026,0,0,126.7
0.894,0.0451,0.026,0,0,147.97
0.982,0.0451,0.026,0,0,169.97
1.082,0.0451,0.026,0,0,140.19
1.198,0.0451,0.026,0,0,146.3
1.286,0.0451,0.026,0,0,160.12
1.386,0.0451,0.026,0,0,140.05
1.503,0.0451,0.026,0,0,136.13
1.58,0.0451,0.026,0,0,168.34
1.684,0.0451,0.026,0,0,135.62
1.781,0.0451,0.026,0,0,184.29
1.885,0.0451,0.026,0,0,145.12
1.984,0.0451,0.026,0,0,150.71
2.081,0.0451,0.026,0,0,174.76
2.185,0.0451,0.026,0,0,115.45
2.286,0.0451,0.026,0,0,129.16
2.38,0.0451,0.026,0,0,137.69
2.481,0.0451,0.026,0,0,148.95
2.583,0.0451,0.026,0,0,147.77
2.682,0.0451,0.026,0,0,170.28
2.784,0.0451,0.026,0,0,147.66
2.889,0.0451,0.026,0,0,124.09
2.981,0.0451,0.026,0,0,161.8
3.085,0.0451,0.026,0,0,145.54
3.184,0.0451,0.026,0,0,140.71
3.285,0.0451,0.026,0,0,148.54
3.385,0.0451,0.026,0,0,120.31
3.485,0.0451,0.026,0,0,129.5
3.582,0.0451,0.026,0,0,165.25
3.682,0.0451,0.026,0,0,139.67
3.791,0.0451,0.026,0,0,147.44
3.883,0.0451,0.026,0,0,183.29
3.984,0.0451,0.026,0,0,149.27
4.095,0.0451,0.026,0,0,143.82
4.182,0.0451,0.026,0,0,161.1
4.288,0.0451,0.026,0,0,141.7
4.405,0.0451,0.026,0,0,144.83
4.483,0.0451,0.026,0,0,179.24
4.584,0.0451,0.026,0,0,149.22
4.682,0.0451,0.026,0,0,174.15
4.784,0.0451,0.026,0,0,136.48
4.885,0.0451,0.026,0,0,148.59
4.98,0.0451,0.026,0,0,178.93
5.083,0.0451,0.026,0,0,136.68
5.18,0.0451,0.026,0,0,132.75
5.28,0.0451,0.026,0,0,170.01
5.383,0.0451,0.026,0,0,136.3
5.481,0.0451,0.026,0,0,132.26
5.58,0.0451,0.026,0,0,172.43
5.68,0.0451,0.026,0,0,149.37
5.786,0.0451,0.026,0,0,152.25
5.885,0.0451,0.026,0,0,170.75
5.985,0.0451,0.026,0,0,140.54
6.093,0.0451,0.026,0,0,138.12
6.188,0.0451,0.026,0,0,116.27
6.28,0.0451,0.026,0,0,97.66
6.415,0.0451,0.026,0,0,88.71
6.482,0.0451,0.026,0,0,119.26
6.582,0.0451,0.026,0,0,100.59
6.686,0.0451,0.026,0,0,125.35
6.782,0.0451,0.026,0,0,104.26
6.881,0.0451,0.026,0,0,110.85
6.981,0.0451,0.026,0,0,159.55
7.084,0.0451,0.026,0,0,135.71
7.184,0.0451,0.026,0,0,140.66
7.281,0.0451,0.026,0,0,164.62
7.381,0.0451,0.026,0,0,119.33
7.486,0.0451,0.026,0,0,124.55
7.582,0.0451,0.026,0,0,156.66
7.685,0.0451,0.026,0,0,106.59
7.809,0.0451,0.026,0,0,80.77
7.881,0.0451,0.026,0,0,110.54
7.98,0.0451,0.026,0,0,80.64
8.081,0.0451,0.026,0,0,109.05
8.187,0.0451,0.026,0,0,85.22
8.283,0.0451,0.026,0,0,93.23
8.38,0.0451,0.026,0,0,123.65
8.485,0.0451,0.026,0,0,105.09
8.584,0.0451,0.026,0,0,121.64
