timestamp,leftDistance,rightDistance,collisionFrames,collisionEvents,currentFPS
0.082,0.0974,0.0774,0,0,39.39
0.186,0.0974,0.0774,0,0,162.75
0.28,0.0974,0.0774,0,0,180.65
0.383,0.0974,0.0774,0,0,175.09
0.484,0.0974,0.0774,0,0,168.02
0.584,0.0974,0.0774,0,0,170.81
0.681,0.0974,0.0774,0,0,165.08
0.783,0.0974,0.0774,0,0,166.05
0.885,0.0974,0.0774,0,0,167.12
0.982,0.0974,0.0774,0,0,164.43
1.084,0.0974,0.0774,0,0,166.86
1.182,0.0974,0.0774,0,0,163.45
1.283,0.0974,0.0774,0,0,158.27
1.381,0.0974,0.0774,0,0,163.28
1.48,0.0974,0.0774,0,0,161.01
1.582,0.0974,0.0774,0,0,167.36
1.685,0.0974,0.0774,0,0,174.11
1.785,0.0974,0.0774,0,0,170.2
1.885,0.0974,0.0774,0,0,170.73
1.984,0.0974,0.0774,0,0,181.23
2.084,0.0974,0.0774,0,0,178.97
2.185,0.0974,0.0774,0,0,168.4
2.285,0.0974,0.0774,0,0,161.45
2.382,0.0974,0.0774,0,0,163.4
2.485,0.0974,0.0774,0,0,156.42
2.582,0.0974,0.0774,0,0,154.93
2.685,0.0974,0.0774,0,0,174.19
2.781,0.0974,0.0774,0,0,176.92
2.887,0.0974,0.0774,0,0,150.76
2.984,0.0974,0.0774,0,0,133.58
3.085,0.0974,0.0774,0,0,139.5
3.184,0.0974,0.0774,0,0,120.45
3.283,0.0974,0.0774,0,0,111.06
3.387,0.0974,0.0774,0,0,135.66
3.485,0.0974,0.0774,0,0,131.63
3.586,0.0974,0.0774,0,0,138.8
3.683,0.0974,0.0774,0,0,144.9
3.786,0.0974,0.0774,0,0,146.08
3.886,0.0974,0.0774,0,0,129.41
3.982,0.0974,0.0774,0,0,114.97
4.084,0.0974,0.0774,0,0,97.3
4.186,0.0974,0.0774,0,0,88.76
4.287,0.0974,0.0774,0,0,118.56
4.387,0.0974,0.0774,0,0,119.69
4.483,0.0974,0.0774,0,0,104.91
4.583,0.0974,0.0774,0,0,119.12
4.681,0.0974,0.0774,0,0,142.97
4.785,0.0974,0.0774,0,0,144.28
4.884,0.0974,0.0774,0,0,141.3
4.981,0.0974,0.0774,0,0,123.62
5.081,0.0974,0.0774,0,0,140.5
5.183,0.0974,0.0774,0,0,147.88
5.4,0.0974,0.0774,0,0,55.18
5.482,0.0974,0.0774,0,0,12.25
5.493,0.0974,0.0774,0,0,91.34
5.584,0.0974,0.0774,0,0,120.92
5.687,0.0974,0.0774,0,0,144.45
5.785,0.0974,0.0774,0,0,153.79
5.882,0.0974,0.0774,0,0,113.62
5.983,0.0974,0.0774,0,0,129.03
6.081,0.0974,0.0774,0,0,142.01
6.186,0.0974,0.0774,0,0,133.05
6.281,0.0974,0.0774,0,0,116.28
6.384,0.0974,0.0774,0,0,135.71
6.481,0.0974,0.0774,0,0,134.32
6.582,0.0974,0.0774,0,0,148.26
6.684,0.0974,0.0774,0,0,157.2
6.783,0.0974,0.0774,0,0,151.25
6.886,0.0974,0.0774,0,0,136.49
6.986,0.0974,0.0774,0,0,149.23
7.08,0.0974,0.0774,0,0,148.44
7.181,0.0974,0.0774,0,0,138.58
7.28,0.0974,0.0774,0,0,141.46
7.38,0.0974,0.0774,0,0,140.38
7.483,0.0974,0.0774,0,0,145.56
7.586,0.0974,0.0774,0,0,145.96
7.683,0.0974,0.0774,0,0,155.09
7.783,0.0974,0.0774,0,0,159.49
7.881,0.0974,0.0774,0,0,122.82
7.98,0.0974,0.0774,0,0,140.53
8.084,0.0974,0.0774,0,0,153.78
8.18,0.0974,0.0774,0,0,156.65
8.285,0.0974,0.0774,0,0,152.61
8.382,0.0974,0.0774,0,0,144.82
8.484,0.0974,0.0774,0,0,136.91
8.585,0.0974,0.0774,0,0,139
8.681,0.0974,0.0774,0,0,155.44
8.781,0.0974,0.0774,0,0,160.57
8.886,0.0974,0.0774,0,0,162.01
8.981,0.0974,0.0774,0,0,158.21
9.08,0.0974,0.0774,0,0,160.3
9.182,0.0974,0.0774,0,0,157.09
9.285,0.0974,0.0774,0,0,165.32
9.386,0.0974,0.0774,0,0,168.88
9.485,0.0974,0.0774,0,0,160.43
9.582,0.0974,0.0774,0,0,154.75
9.683,0.0974,0.0774,0,0,158.57
9.784,0.0974,0.0774,0,0,158.68
9.883,0.0974,0.0774,0,0,151.92
9.982,0.0974,0.0774,0,0,151.44
10.084,0.0974,0.0774,0,0,156.63
10.182,0.0974,0.0774,0,0,153.04
10.284,0.0974,0.0774,0,0,156.58
10.384,0.0974,0.0774,0,0,140.43
10.482,0.0974,0.0774,0,0,131.9
10.584,0.0974,0.0774,0,0,147.78
10.68,0.0974,0.0774,0,0,176.8
10.781,0.0974,0.0774,0,0,178.8
10.882,0.0974,0.0774,0,0,167.58
10.986,0.0974,0.0774,0,0,154.61
11.088,0.0974,0.0774,0,0,166.73
11.184,0.0974,0.0774,0,0,156.21
11.284,0.0974,0.0774,0,0,149.28
11.383,0.0974,0.0774,0,0,151.62
11.481,0.0974,0.0774,0,0,153.46
11.581,0.0974,0.0774,0,0,159.96
11.683,0.0974,0.0774,0,0,165.87
11.781,0.0974,0.0774,0,0,174.86
11.883,0.0974,0.0774,0,0,175.63
11.98,0.0974,0.0774,0,0,165.03
12.081,0.0974,0.0774,0,0,169.2
12.18,0.0974,0.0774,0,0,160.11
12.282,0.0974,0.0774,0,0,158.2
12.386,0.0974,0.0774,0,0,173.13
12.481,0.0974,0.0774,0,0,167.65
12.583,0.0974,0.0774,0,0,167.31
12.682,0.0974,0.0774,0,0,161
12.783,0.0974,0.0774,0,0,168.14
12.886,0.0974,0.0774,0,0,165.84
12.981,0.0974,0.0774,0,0,156.82
13.086,0.0974,0.0774,0,0,143.73
13.183,0.0974,0.0774,0,0,164.38
13.284,0.0974,0.0774,0,0,159.04
13.382,0.0974,0.0774,0,0,142.52
13.485,0.0974,0.0774,0,0,155.47
13.585,0.0974,0.0774,0,0,159.8
13.682,0.0974,0.0774,0,0,165.53
13.783,0.0974,0.0774,0,0,177.59
13.884,0.0974,0.0774,0,0,167.69
13.981,0.0974,0.0774,0,0,165.59
14.081,0.0974,0.0774,0,0,168.95
14.182,0.0974,0.0774,0,0,169.36
14.284,0.0974,0.0774,0,0,147.44
14.38,0.0974,0.0774,0,0,165.62
14.484,0.0974,0.0774,0,0,164.54
14.585,0.0974,0.0774,0,0,167.87
14.682,0.0974,0.0774,0,0,154.03
14.784,0.0974,0.0774,0,0,146.87
