timestamp,leftDistance,rightDistance,collisionFrames,collisionEvents,currentFPS
0.128,0.0974,0.0774,0,0,20.33
0.189,0.0974,0.0774,0,0,65.43
0.286,0.0974,0.0774,0,0,72.23
0.383,0.0974,0.0774,0,0,72.05
0.494,0.0974,0.0774,0,0,72.12
0.591,0.0974,0.0774,0,0,72.05
0.688,0.0974,0.0774,0,0,72.04
0.785,0.0974,0.0774,0,0,72.01
0.932,0.0974,0.0774,0,0,47.66
0.984,0.0974,0.0774,0,0,76.81
1.083,0.0974,0.0774,0,0,71.16
1.18,0.0974,0.0774,0,0,71.59
1.291,0.0974,0.0774,0,0,72.02
1.389,0.0974,0.0774,0,0,71.39
1.486,0.0974,0.0774,0,0,72.2
1.584,0.0974,0.0774,0,0,71.63
1.681,0.0974,0.0774,0,0,72.28
1.792,0.0974,0.0774,0,0,71.87
1.893,0.0974,0.0774,0,0,69.19
1.987,0.0974,0.0774,0,0,74.99
2.084,0.0974,0.0774,0,0,71.94
2.181,0.0974,0.0774,0,0,72.07
2.292,0.0974,0.0774,0,0,71.94
2.39,0.0974,0.0774,0,0,72.08
2.487,0.0974,0.0774,0,0,71.67
2.584,0.0974,0.0774,0,0,72.07
2.681,0.0974,0.0774,0,0,72.14
2.793,0.0974,0.0774,0,0,71.73
2.89,0.0974,0.0774,0,0,72.2
2.988,0.0974,0.0774,0,0,71.54
3.084,0.0974,0.0774,0,0,72.5
3.182,0.0974,0.0774,0,0,71.7
3.293,0.0974,0.0774,0,0,72.34
3.39,0.0974,0.0774,0,0,71.55
3.487,0.0974,0.0774,0,0,72.14
3.585,0.0974,0.0774,0,0,71.69
3.682,0.0974,0.0774,0,0,71.94
3.794,0.0974,0.0774,0,0,71.92
3.89,0.0974,0.0774,0,0,72.3
3.988,0.0974,0.0774,0,0,71.56
4.085,0.0974,0.0774,0,0,72.18
4.182,0.0974,0.0774,0,0,72.09
4.293,0.0974,0.0774,0,0,71.96
4.391,0.0974,0.0774,0,0,71.76
4.488,0.0974,0.0774,0,0,72.27
4.585,0.0974,0.0774,0,0,71.81
4.683,0.0974,0.0774,0,0,71.87
4.794,0.0974,0.0774,0,0,72.07
4.891,0.0974,0.0774,0,0,71.68
4.99,0.0974,0.0774,0,0,71.33
5.085,0.0974,0.0774,0,0,72.98
5.183,0.0974,0.0774,0,0,71.5
5.28,0.0974,0.0774,0,0,72.25
5.392,0.0974,0.0774,0,0,71.91
5.488,0.0974,0.0774,0,0,72.2
5.586,0.0974,0.0774,0,0,71.86
5.683,0.0974,0.0774,0,0,72.19
5.78,0.0974,0.0774,0,0,71.81
5.891,0.0974,0.0774,0,0,72.11
5.989,0.0974,0.0774,0,0,71.55
6.086,0.0974,0.0774,0,0,72.14
6.183,0.0974,0.0774,0,0,72.05
6.28,0.0974,0.0774,0,0,72.13
6.392,0.0974,0.0774,0,0,71.73
6.489,0.0974,0.0774,0,0,72.17
6.586,0.0974,0.0774,0,0,71.76
6.683,0.0974,0.0774,0,0,72.24
6.781,0.0974,0.0774,0,0,71.87
6.892,0.0974,0.0774,0,0,72.15
6.989,0.0974,0.0774,0,0,71.82
7.086,0.0974,0.0774,0,0,72.29
7.184,0.0974,0.0774,0,0,71.46
7.281,0.0974,0.0774,0,0,71.94
7.392,0.0974,0.0774,0,0,71.87
7.489,0.0974,0.0774,0,0,72.54
7.586,0.0974,0.0774,0,0,71.74
7.684,0.0974,0.0774,0,0,72.11
7.781,0.0974,0.0774,0,0,72
7.892,0.0974,0.0774,0,0,72.01
7.989,0.0974,0.0774,0,0,71.73
8.086,0.0974,0.0774,0,0,72.25
8.184,0.0974,0.0774,0,0,71.95
8.281,0.0974,0.0774,0,0,72.1
8.392,0.0974,0.0774,0,0,71.83
8.489,0.0974,0.0774,0,0,71.96
8.587,0.0974,0.0774,0,0,71.83
8.684,0.0974,0.0774,0,0,72.22
8.781,0.0974,0.0774,0,0,71.74
8.892,0.0974,0.0774,0,0,72.32
8.989,0.0974,0.0774,0,0,71.79
9.087,0.0974,0.0774,0,0,72.03
9.184,0.0974,0.0774,0,0,71.89
9.281,0.0974,0.0774,0,0,72.16
9.392,0.0974,0.0774,0,0,72.07
9.49,0.0974,0.0774,0,0,71.79
9.587,0.0974,0.0774,0,0,72
9.684,0.0974,0.0774,0,0,72.08
9.781,0.0974,0.0774,0,0,72.08
9.892,0.0974,0.0774,0,0,72.08
9.989,0.0974,0.0774,0,0,71.93
10.086,0.0974,0.0774,0,0,72.13
10.184,0.0974,0.0774,0,0,71.79
10.281,0.0974,0.0774,0,0,72.24
10.392,0.0974,0.0774,0,0,71.82
10.489,0.0974,0.0774,0,0,72.16
10.587,0.0974,0.0774,0,0,71.75
10.683,0.0974,0.0774,0,0,72.38
10.782,0.0974,0.0774,0,0,71.33
10.892,0.0974,0.0774,0,0,72.24
10.989,0.0974,0.0774,0,0,72.05
11.086,0.0974,0.0774,0,0,72.22
11.184,0.0974,0.0774,0,0,71.72
11.281,0.0974,0.0774,0,0,72.28
11.392,0.0974,0.0774,0,0,71.76
11.49,0.0974,0.0774,0,0,72.01
11.587,0.0974,0.0774,0,0,72.13
11.684,0.0974,0.0774,0,0,72.17
11.781,0.0974,0.0774,0,0,72.01
11.892,0.0974,0.0774,0,0,72.07
11.989,0.0974,0.0774,0,0,71.71
12.087,0.0974,0.0774,0,0,71.62
12.183,0.0974,0.0774,0,0,72.62
12.281,0.0974,0.0774,0,0,72.06
12.392,0.0974,0.0774,0,0,71.64
12.489,0.0974,0.0774,0,0,72.19
12.587,0.0974,0.0774,0,0,71.97
12.684,0.0974,0.0774,0,0,71.79
12.781,0.0974,0.0774,0,0,71.84
12.892,0.0974,0.0774,0,0,72.63
12.989,0.0974,0.0774,0,0,71.82
13.087,0.0974,0.0774,0,0,71.86
13.184,0.0974,0.0774,0,0,71.96
13.282,0.0974,0.0774,0,0,71.61
13.392,0.0974,0.0774,0,0,72.36
13.489,0.0974,0.0774,0,0,72.15
13.587,0.0974,0.0774,0,0,71.75
13.684,0.0974,0.0774,0,0,71.99
13.781,0.0974,0.0774,0,0,72.19
13.892,0.0974,0.0774,0,0,62.82
13.989,0.0974,0.0774,0,0,72.13
14.087,0.0974,0.0774,0,0,71.91
14.184,0.0974,0.0774,0,0,72.23
14.281,0.0974,0.0774,0,0,72.02
14.392,0.0974,0.0774,0,0,71.85
14.49,0.0974,0.0774,0,0,71.8
14.586,0.0974,0.0774,0,0,72.32
14.684,0.0974,0.0774,0,0,72.07
14.781,0.0974,0.0774,0,0,71.97
14.892,0.0974,0.0774,0,0,72.04
14.99,0.0974,0.0774,0,0,71.64
15.086,0.0974,0.0774,0,0,72.4
15.184,0.0974,0.0774,0,0,71.72
15.281,0.0974,0.0774,0,0,71.98
15.392,0.0974,0.0774,0,0,71.97
15.489,0.0974,0.0774,0,0,72.3
15.587,0.0974,0.0774,0,0,71.77
15.684,0.0974,0.0774,0,0,72.06
15.781,0.0974,0.0774,0,0,72.24
15.892,0.0974,0.0774,0,0,72.06
15.989,0.0974,0.0774,0,0,71.94
16.086,0.0974,0.0774,0,0,72.01
16.183,0.0974,0.0774,0,0,71.97
16.281,0.0974,0.0774,0,0,71.96
16.392,0.0974,0.0774,0,0,71.88
16.489,0.0974,0.0774,0,0,72.06
16.586,0.0974,0.0774,0,0,72.04
16.684,0.0974,0.0774,0,0,71.87
16.781,0.0974,0.0774,0,0,71.88
16.892,0.0974,0.0774,0,0,72.22
16.989,0.0974,0.0774,0,0,71.94
17.086,0.0974,0.0774,0,0,72.23
17.184,0.0974,0.0774,0,0,71.76
17.281,0.0974,0.0774,0,0,71.94
17.392,0.0974,0.0774,0,0,72.02
17.489,0.0974,0.0774,0,0,72.19
17.586,0.0974,0.0774,0,0,71.85
17.684,0.0974,0.0774,0,0,71.88
17.781,0.0974,0.0774,0,0,72.16
17.892,0.0974,0.0774,0,0,71.95
17.989,0.0974,0.0774,0,0,71.91
18.087,0.0974,0.0774,0,0,71.99
18.184,0.0974,0.0774,0,0,71.96
18.281,0.0974,0.0774,0,0,72.12
18.392,0.0974,0.0774,0,0,71.93
18.489,0.0974,0.0774,0,0,72.38
18.586,0.0974,0.0774,0,0,71.95
18.683,0.0974,0.0774,0,0,72.07
18.781,0.0974,0.0774,0,0,71.89
18.892,0.0974,0.0774,0,0,72.01
18.989,0.0974,0.0774,0,0,71.65
19.086,0.0974,0.0774,0,0,72.17
19.184,0.0974,0.0774,0,0,71.89
19.281,0.0974,0.0774,0,0,72.09
19.392,0.0974,0.0774,0,0,71.99
19.489,0.0974,0.0774,0,0,72.24
19.586,0.0974,0.0774,0,0,71.89
19.684,0.0974,0.0774,0,0,71.92
19.781,0.0974,0.0774,0,0,71.94
19.892,0.0974,0.0774,0,0,72.04
19.989,0.0974,0.0774,0,0,72.1
20.086,0.0974,0.0774,0,0,72.03
20.183,0.0974,0.0774,0,0,72.04
20.281,0.0974,0.0774,0,0,71.87
20.393,0.0974,0.0774,0,0,71.26
20.49,0.0974,0.0774,0,0,72.53
20.586,0.0974,0.0774,0,0,72.36
20.684,0.0974,0.0774,0,0,72.04
20.781,0.0974,0.0774,0,0,71.88
20.892,0.0974,0.0774,0,0,71.93
20.989,0.0974,0.0774,0,0,72.15
21.086,0.0974,0.0774,0,0,72.09
21.184,0.0974,0.0774,0,0,71.84
21.281,0.0974,0.0774,0,0,72.03
21.392,0.0974,0.0774,0,0,71.75
21.489,0.0974,0.0774,0,0,72.46
21.586,0.0974,0.0774,0,0,71.89
21.684,0.0974,0.0774,0,0,71.55
21.781,0.0974,0.0774,0,0,72.5
21.892,0.0974,0.0774,0,0,72.05
21.989,0.0974,0.0774,0,0,71.94
22.086,0.0974,0.0774,0,0,71.97
22.184,0.0974,0.0774,0,0,71.63
22.281,0.0974,0.0774,0,0,72.48
22.392,0.0974,0.0774,0,0,71.84
22.489,0.0974,0.0774,0,0,72.28
22.586,0.0974,0.0774,0,0,71.86
22.683,0.0974,0.0774,0,0,71.99
22.782,0.0974,0.0774,0,0,71.15
22.892,0.0974,0.0774,0,0,72.81
22.989,0.0974,0.0774,0,0,71.7
23.086,0.0974,0.0774,0,0,72.15
23.184,0.0974,0.0774,0,0,71.98
23.281,0.0974,0.0774,0,0,71.92
23.392,0.0974,0.0774,0,0,71.77
23.489,0.0974,0.0774,0,0,72.28
23.587,0.0974,0.0774,0,0,71.92
23.684,0.0974,0.0774,0,0,72.08
23.781,0.0974,0.0774,0,0,72.2
23.892,0.0974,0.0774,0,0,71.91
23.989,0.0974,0.0774,0,0,72.06
24.086,0.0974,0.0774,0,0,72.11
24.184,0.0974,0.0774,0,0,71.66
24.281,0.0974,0.0774,0,0,72.2
24.392,0.0974,0.0774,0,0,71.96
24.489,0.0974,0.0774,0,0,71.96
24.587,0.0974,0.0774,0,0,71.73
24.684,0.0974,0.0774,0,0,72.11
24.782,0.0974,0.0774,0,0,71.56
24.893,0.0974,0.0774,0,0,71.82
24.991,0.0974,0.0774,0,0,71.58
25.088,0.0974,0.0774,0,0,72.1
25.185,0.0974,0.0774,0,0,71.82
25.283,0.0974,0.0774,0,0,72.04
25.38,0.0974,0.0774,0,0,71.79
25.491,0.0974,0.0774,0,0,72.3
25.588,0.0974,0.0774,0,0,71.92
25.686,0.0974,0.0774,0,0,71.87
25.783,0.0974,0.0774,0,0,72.07
25.893,0.0974,0.0774,0,0,72.19
25.991,0.0974,0.0774,0,0,71.73
26.093,0.0974,0.0774,0,0,68.88
26.18,0.0974,0.0774,0,0,68.36
26.293,0.0974,0.0774,0,0,71.09
