timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768730629.199515,0.036312,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.199515,628,0,3.978788,1768730629.196998,,,7.072316,7.411453,1768730629.163203,,,0.000000,0.000000,1768730629.162202
1768730629.224983,0.061780,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.224983,631,0,3.930208,1768730629.221469,,,7.072316,7.411453,1768730629.163203,,,0.000000,0.000000,1768730629.162202
1768730629.256121,0.092918,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.256121,624,0,4.043923,1768730629.255115,,,7.072316,7.411453,1768730629.163203,,,0.000000,0.000000,1768730629.162202
1768730629.287364,0.124161,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.287364,575,0,4.877561,1768730629.287364,,,7.039708,7.722185,1768730629.278327,,,-0.316164,3.012898,1768730629.265335
1768730629.326433,0.163231,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.326433,565,0,5.056401,1768730629.325426,,,7.039708,7.722185,1768730629.278327,,,-0.316164,3.012898,1768730629.265335
1768730629.364039,0.200836,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.364039,616,0,4.175455,1768730629.361032,,,7.039708,7.722185,1768730629.278327,,,-0.316164,3.012898,1768730629.265335
1768730629.394853,0.231650,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.394853,633,0,3.897950,1768730629.394853,,,6.771674,7.946569,1768730629.386137,,,-2.661347,2.227933,1768730629.366049
1768730629.425627,0.262424,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.425627,638,0,3.817748,1768730629.422636,,,6.771674,7.946569,1768730629.386137,,,-2.661347,2.227933,1768730629.366049
1768730629.456157,0.292955,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.456157,636,0,3.849753,1768730629.455146,,,6.771674,7.946569,1768730629.386137,,,-2.661347,2.227933,1768730629.366049
1768730629.487338,0.324135,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.487338,633,0,3.897950,1768730629.487338,,,6.685650,7.954655,1768730629.478737,,,-2.661347,2.227933,1768730629.366049
1768730629.518542,0.355339,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.518542,647,0,3.674955,1768730629.517523,,,6.685650,7.954655,1768730629.478737,,,-0.840343,0.823937,1768730629.468414
1768730629.598130,0.434928,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.598130,794,0,1.587941,1768730629.595122,,,6.658315,8.259607,1768730629.570931,,,-0.270721,3.550015,1768730629.569425
1768730629.626606,0.463404,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.626606,817,0,1.296855,1768730629.626606,,,6.658315,8.259607,1768730629.570931,,,-0.270721,3.550015,1768730629.569425
1768730629.658334,0.495132,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.658334,828,0,1.160525,1768730629.656324,,,6.658315,8.259607,1768730629.570931,,,-0.270721,3.550015,1768730629.569425
1768730629.689715,0.526513,14.447376,-14.341304,0.000000,0.000000,0.000000,0.200109,1768730629.689715,824,0,1.209889,1768730629.689715,,,6.658315,8.259607,1768730629.570931,,,-0.270721,3.550015,1768730629.569425
1768730629.728205,0.565003,14.445515,-14.269207,-0.048365,1.873140,1.873764,0.229143,1768730629.728205,857,0,0.809612,1768730629.725445,,,6.589817,8.486432,1768730629.696863,,,-0.676189,5.073762,1768730629.670718
1768730629.752591,0.589389,14.445515,-14.269207,-0.033856,1.311198,1.311635,0.229143,1768730629.752591,885,0,0.481890,1768730629.749534,,,6.589817,8.486432,1768730629.696863,,,-0.676189,5.073762,1768730629.670718
1768730629.855574,0.692371,14.445515,-14.269207,-0.023699,0.917839,0.918145,0.229143,1768730629.855574,841,0,1.001724,1768730629.853068,,,6.368902,8.535418,1768730629.773127,,,-2.179101,4.469302,1768730629.772099
1768730629.889487,0.726285,14.442723,-14.161062,-0.041282,1.599143,1.599676,0.294075,1768730629.889487,819,0,1.271932,1768730629.889487,,,6.368902,8.535418,1768730629.773127,,,-2.179101,4.469302,1768730629.772099
1768730629.923883,0.760680,14.442723,-14.161062,-0.028898,1.119400,1.119773,0.294075,1768730629.923883,814,0,1.334355,1768730629.922873,,,6.242808,8.593220,1768730629.896382,,,-1.222591,4.190170,1768730629.875201
1768730629.989914,0.826711,14.439000,-14.016868,-0.037144,1.438703,1.439182,0.406831,1768730629.989914,809,0,1.397163,1768730629.988910,,,6.223152,8.618023,1768730629.976655,,,-0.196404,3.765399,1768730629.975150
1768730630.030686,0.867483,14.436209,-13.908721,-0.046540,1.802839,1.803440,0.471563,1768730630.030686,840,0,1.013852,1768730630.029178,,,6.223152,8.618023,1768730629.976655,,,-0.196404,3.765399,1768730629.975150
1768730630.059174,0.895972,14.469124,-13.799376,0.314035,2.413451,2.433796,0.581187,1768730630.059174,802,0,1.485748,1768730630.058175,,,6.223152,8.618023,1768730629.976655,,,-0.196404,3.765399,1768730629.975150
