timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_L_raw,fsr_R_raw,fsr_L,fsr_R,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1769361736.785861,0.027832,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.785861,,,,,,,,,,,,,,,
1769361736.814447,0.056417,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.814447,,,,,,,,,,,,,,,
1769361736.847035,0.089006,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.847035,,,,,,,,,,,,,,,
1769361736.877887,0.119858,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.877887,,,,,,-3.632710,-3.951354,,,1769361736.869322,,,,,
1769361736.911325,0.153296,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.911325,,,,,,-3.632710,-3.951354,,,1769361736.869322,0.000000,0.000000,,,1769361736.868152
1769361736.941905,0.183876,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.941905,,,,,,-3.632710,-3.951354,,,1769361736.869322,0.000000,0.000000,,,1769361736.868152
1769361736.972507,0.214478,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361736.972507,,,,,,-3.632710,-3.951354,,,1769361736.869322,0.000000,0.000000,,,1769361736.868152
1769361737.000784,0.242755,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.000784,,,,,,-4.140634,-3.975304,,,1769361736.976717,-1.531042,-0.363071,,,1769361736.957947
1769361737.033864,0.275835,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.033864,,,,,,-4.140634,-3.975304,,,1769361736.976717,-1.531042,-0.363071,,,1769361736.957947
1769361737.072035,0.314006,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.072035,,,,,,-4.238823,-3.964462,,,1769361737.059788,-0.220337,-0.215454,,,1769361737.058783
1769361737.100797,0.342768,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.100797,,,,,,-4.238823,-3.964462,,,1769361737.059788,-0.220337,-0.215454,,,1769361737.058783
1769361737.165146,0.407116,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.165146,,,,,,-4.252298,-4.148883,,,1769361737.163139,-0.220337,-0.215454,,,1769361737.058783
1769361737.190401,0.432371,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.190401,,,,,,-4.252298,-4.148883,,,1769361737.163139,0.083860,-1.993999,,,1769361737.162134
1769361737.217128,0.459099,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.217128,,,,,,-4.252298,-4.148883,,,1769361737.163139,0.083860,-1.993999,,,1769361737.162134
1769361737.249728,0.491699,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.249728,,,,,,-4.252298,-4.148883,,,1769361737.163139,0.083860,-1.993999,,,1769361737.162134
1769361737.279111,0.521082,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.279111,,,,,,-4.234621,-4.253841,,,1769361737.263065,0.083860,-1.993999,,,1769361737.162134
1769361737.310832,0.552803,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.310832,,,,,,-4.234621,-4.253841,,,1769361737.263065,0.107494,-2.488650,,,1769361737.262065
1769361737.342665,0.584635,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.342665,,,,,,-4.234621,-4.253841,,,1769361737.263065,0.107494,-2.488650,,,1769361737.262065
1769361737.373482,0.615453,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.373482,,,,,,-4.233240,-4.919904,,,1769361737.364968,-0.089582,-8.200565,,,1769361737.364968
1769361737.406055,0.648026,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.406055,,,,,,-4.233240,-4.919904,,,1769361737.364968,-0.089582,-8.200565,,,1769361737.364968
1769361737.437146,0.679116,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.437146,,,,,,-4.233240,-4.919904,,,1769361737.364968,-0.089582,-8.200565,,,1769361737.364968
1769361737.466241,0.708212,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.466241,,,,,,-4.381929,-5.569867,,,1769361737.466241,-0.089582,-8.200565,,,1769361737.364968
1769361737.494638,0.736609,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.494638,,,,,,-4.381929,-5.569867,,,1769361737.466241,-1.459829,-11.181107,,,1769361737.465244
1769361737.528022,0.769993,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.528022,,,,,,-4.381929,-5.569867,,,1769361737.466241,-1.459829,-11.181107,,,1769361737.465244
1769361737.564333,0.806304,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.564333,,,,,,-4.381929,-5.569867,,,1769361737.466241,-1.459829,-11.181107,,,1769361737.465244
1769361737.587060,0.829031,12.216115,-9.719136,0.000000,0.000000,0.000000,0.016158,1769361737.587060,,,,,,-4.701595,-6.612576,,,1769361737.567642,-2.315000,-15.469502,,,1769361737.566641
