timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,fsr_force_N,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1768418315.870053,0.004566,15.035212,-14.970556,-0.014577,0.565168,0.565356,0.684498,1768418315.870053,787,0,1.678208,1768418315.867013,,,,,,,,,,
1768418315.901445,0.035958,15.035212,-14.970556,-0.010204,0.395617,0.395749,0.684498,1768418315.901445,793,0,1.600787,1768418315.899928,,,6.949473,7.526271,1768418315.891121,,,0.000000,0.000000,1768418315.865487
1768418315.931754,0.066267,15.035212,-14.970556,-0.007143,0.276932,0.277024,0.684498,1768418315.931754,896,0,0.355970,1768418315.932260,,,6.949473,7.526271,1768418315.891121,,,0.000000,0.000000,1768418315.865487
1768418315.963741,0.098253,15.035212,-14.970556,-0.005000,0.193853,0.193917,0.684498,1768418315.963741,934,0,0.000000,1768418315.962359,,,6.949473,7.526271,1768418315.891121,,,0.000000,0.000000,1768418315.865487
1768418315.994559,0.129072,15.035212,-14.970556,-0.003500,0.135697,0.135742,0.684498,1768418315.994559,949,0,0.000000,1768418315.994559,,,7.109672,7.636175,1768418315.985246,,,1.605702,1.101578,1768418315.965255
1768418316.026683,0.161196,15.035212,-14.970556,-0.002450,0.094988,0.095019,0.684498,1768418316.026683,949,0,0.000000,1768418316.023062,,,7.109672,7.636175,1768418315.985246,,,1.605702,1.101578,1768418315.965255
1768418316.056532,0.191045,15.035212,-14.970556,-0.001715,0.066491,0.066514,0.684498,1768418316.056532,927,0,0.009253,1768418316.055018,,,7.109672,7.636175,1768418315.985246,,,1.605702,1.101578,1768418315.965255
1768418316.089443,0.223956,15.035212,-14.970556,-0.001200,0.046544,0.046559,0.684498,1768418316.089443,922,0,0.064383,1768418316.087929,,,7.173724,7.626408,1768418316.079586,,,1.605702,1.101578,1768418315.965255
1768418316.120151,0.254664,15.035212,-14.970556,-0.000840,0.032581,0.032592,0.684498,1768418316.120151,920,0,0.086519,1768418316.117624,,,7.173724,7.626408,1768418316.079586,,,0.639764,0.143353,1768418316.065307
1768418316.149627,0.284140,15.035212,-14.970556,-0.000588,0.022807,0.022814,0.684498,1768418316.149627,914,0,0.153217,1768418316.146591,,,7.173724,7.626408,1768418316.079586,,,0.639764,0.143353,1768418316.065307
1768418316.202360,0.336873,15.035212,-14.970556,-0.000412,0.015965,0.015970,0.684498,1768418316.202360,919,0,0.097606,1768418316.199517,,,7.018892,7.612561,1768418316.169629,,,-0.516835,0.004283,1768418316.168106
1768418316.225459,0.359972,15.035212,-14.970556,-0.000288,0.011175,0.011179,0.684498,1768418316.225459,893,0,0.390158,1768418316.223948,,,7.018892,7.612561,1768418316.169629,,,-0.516835,0.004283,1768418316.168106
1768418316.264057,0.398570,15.035212,-14.970556,-0.000202,0.007823,0.007825,0.684498,1768418316.264057,847,0,0.929257,1768418316.264057,,,7.018892,7.612561,1768418316.169629,,,-0.516835,0.004283,1768418316.168106
1768418316.300416,0.434929,15.035212,-14.970556,-0.000141,0.005476,0.005478,0.684498,1768418316.300416,819,0,1.271932,1768418316.300416,,,7.173099,7.728993,1768418316.291595,,,-0.516835,0.004283,1768418316.168106
1768418316.332159,0.466672,15.035212,-14.970556,-0.000099,0.003833,0.003834,0.684498,1768418316.332159,815,0,1.321840,1768418316.329571,,,7.173099,7.728993,1768418316.291595,,,0.968258,1.123458,1768418316.272235
1768418316.362297,0.496809,14.963850,-14.973004,-0.710422,-0.021686,0.710753,0.603708,1768418316.362297,781,0,1.756221,1768418316.362297,,,7.173099,7.728993,1768418316.291595,,,0.968258,1.123458,1768418316.272235
1768418316.395524,0.530037,14.963850,-14.973004,-0.497296,-0.015180,0.497527,0.603708,1768418316.395524,747,0,2.209938,1768418316.395524,,,7.325087,7.807353,1768418316.385689,,,0.968258,1.123458,1768418316.272235
1768418316.425336,0.559849,14.963850,-14.973004,-0.348107,-0.010626,0.348269,0.603708,1768418316.425336,719,0,2.599374,1768418316.423812,,,7.325087,7.807353,1768418316.385689,,,1.601457,1.370050,1768418316.369406
1768418316.457619,0.592132,14.963850,-14.973004,-0.243675,-0.007438,0.243788,0.603708,1768418316.457619,708,0,2.756532,1768418316.456093,,,7.325087,7.807353,1768418316.385689,,,1.601457,1.370050,1768418316.369406
1768418316.486308,0.620821,14.963850,-14.973004,-0.170572,-0.005207,0.170652,0.603708,1768418316.486308,687,0,3.063460,1768418316.486308,,,7.344949,7.833873,1768418316.469371,,,1.601457,1.370050,1768418316.369406
1768418316.521658,0.656171,14.961990,-14.900936,-0.135182,0.607953,0.622801,0.619615,1768418316.521658,683,0,3.122985,1768418316.519073,,,7.344949,7.833873,1768418316.469371,,,1.137264,0.975006,1768418316.467859
1768418316.549546,0.684059,14.961990,-14.900936,-0.094628,0.425567,0.435961,0.619615,1768418316.549546,672,0,3.288494,1768418316.547015,,,7.344949,7.833873,1768418316.469371,,,1.137264,0.975006,1768418316.467859
1768418316.609382,0.743895,14.961990,-14.900936,-0.066239,0.297897,0.305172,0.619615,1768418316.609382,662,0,3.441325,1768418316.608871,,,7.399762,7.983849,1768418316.570176,,,1.067598,1.810233,1768418316.569162
1768418316.648522,0.783035,14.961990,-14.900936,-0.046368,0.208528,0.213621,0.619615,1768418316.648522,662,0,3.441325,1768418316.645469,,,7.399762,7.983849,1768418316.570176,,,1.067598,1.810233,1768418316.569162
1768418316.679244,0.813757,14.924448,-14.830088,-0.399053,0.837795,0.927979,0.614004,1768418316.679244,668,0,3.349352,1768418316.679244,,,7.399762,7.983849,1768418316.570176,,,1.067598,1.810233,1768418316.569162
1768418316.707934,0.842447,14.924448,-14.830088,-0.279337,0.586457,0.649585,0.614004,1768418316.707934,668,0,3.349352,1768418316.707934,,,7.480989,8.083703,1768418316.697032,,,1.067598,1.810233,1768418316.569162
1768418316.738033,0.872546,14.924448,-14.830088,-0.195536,0.410520,0.454710,0.614004,1768418316.738033,667,0,3.364623,1768418316.734998,,,7.480989,8.083703,1768418316.697032,,,1.235207,2.089833,1768418316.673101
1768418316.770011,0.904524,14.851215,-14.760455,-0.823911,0.940625,1.250442,0.539577,1768418316.770011,663,0,3.425938,1768418316.768495,,,7.480989,8.083703,1768418316.697032,,,1.235207,2.089833,1768418316.673101
1768418316.799979,0.934492,14.851215,-14.760455,-0.576738,0.658437,0.875309,0.539577,1768418316.799979,696,0,2.930786,1768418316.799979,,,7.567197,8.369819,1768418316.771528,,,1.551332,4.462020,1768418316.771528
1768418316.829837,0.964350,14.813667,-14.689598,-0.780978,1.172838,1.409069,0.510442,1768418316.829837,665,0,3.395234,1768418316.829837,,,7.567197,8.369819,1768418316.771528,,,1.551332,4.462020,1768418316.771528
1768418316.861452,0.995965,14.813667,-14.689598,-0.546685,0.820987,0.986349,0.510442,1768418316.861452,666,0,3.379917,1768418316.861452,,,7.567197,8.369819,1768418316.771528,,,1.551332,4.462020,1768418316.771528
1768418316.892319,1.026832,14.811807,-14.617521,-0.400763,1.275228,1.336719,0.503829,1768418316.892319,661,0,3.456735,1768418316.891802,,,7.567197,8.369819,1768418316.771528,,,1.551332,4.462020,1768418316.771528
1768418316.924781,1.059294,14.774256,-14.546658,-0.627558,1.547540,1.669942,0.439447,1768418316.924781,654,0,3.565261,1768418316.924269,,,7.525125,8.732856,1768418316.897935,,,0.464865,7.053534,1768418316.873851
