epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.1067,1.30204,2.17901,7.63026,0.00463,4.30618,0.00033,0.1,0.00022,0.00011,0.00033,0.1,0.00022,0.00011,1.07198,2.07262,6.86875,0.00541,0,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014
2,29.1614,1.1356,1.93425,7.59557,0.00419,4.10823,0.001,0.3,0.00121,0.00072,0.00089,0.26667,0.00114,0.00057,1.10149,1.99069,5.996,0.00542,0,0.0008703,0.0002901,0.0008703,0.0002901,0.0008703,0.0002901,0.0008703,0.0002901
3,36.0709,1.11485,1.83185,6.13946,0.00408,3.85792,0.00156,0.46667,0.00645,0.00332,0.00144,0.43333,0.00638,0.00314,1.08054,1.89318,5.2009,0.0055,0,0.00128892,0.00042964,0.00128892,0.00042964,0.00128892,0.00042964,0.00128892,0.00042964
4,43.247,1.01299,1.61001,4.91151,0.00364,3.79167,0.42449,0.16667,0.15433,0.08564,0.42449,0.16667,0.15424,0.08308,1.06213,1.78769,3.968,0.00516,0,0.00167586,0.00055862,0.00167586,0.00055862,0.00167586,0.00055862,0.00167586,0.00055862
5,50.5364,1.03324,1.72681,4.01876,0.00374,3.72079,0.43571,0.4,0.3426,0.20661,0.43571,0.4,0.33909,0.19077,1.04443,1.72911,2.96833,0.00502,0,0.00203112,0.00067704,0.00203112,0.00067704,0.00203112,0.00067704,0.00203112,0.00067704
6,57.7477,0.99226,1.41094,3.1614,0.00316,3.71164,0.4146,0.40138,0.39798,0.26642,0.4146,0.40138,0.40043,0.25038,1.10802,1.6785,2.01141,0.0051,0,0.0023547,0.0007849,0.0023547,0.0007849,0.0023547,0.0007849,0.0023547,0.0007849
7,64.6802,0.90126,1.2697,2.43721,0.00301,3.4947,0.50658,0.68466,0.54089,0.3665,0.50658,0.68466,0.54294,0.33897,1.01043,1.60143,1.73479,0.00448,0,0.0026466,0.0008822,0.0026466,0.0008822,0.0026466,0.0008822,0.0026466,0.0008822
8,71.5823,0.94124,1.24741,2.08906,0.00326,2.60256,0.8317,0.5,0.65938,0.44049,0.8317,0.5,0.66277,0.40824,0.97066,1.55902,1.51146,0.0045,0,0.00290682,0.00096894,0.00290682,0.00096894,0.00290682,0.00096894,0.00290682,0.00096894
9,78.4865,0.77783,1.20718,1.71357,0.00244,1.49068,0.85489,0.66667,0.77955,0.54635,0.77223,0.7,0.80145,0.51984,0.966,1.51586,1.26708,0.00455,0,0.00313536,0.00104512,0.00313536,0.00104512,0.00313536,0.00104512,0.00313536,0.00104512
10,84.8218,0.79992,1.09073,1.2722,0.0024,1.06735,0.73855,0.76667,0.76809,0.55918,0.77301,0.79476,0.81456,0.53332,0.96984,1.53457,1.1002,0.0045,0,0.00333222,0.00111074,0.00333222,0.00111074,0.00333222,0.00111074,0.00333222,0.00111074
11,92.0497,0.82323,1.06386,1.10533,0.00251,0.76785,0.79097,0.75704,0.82811,0.6217,0.82361,0.77848,0.87601,0.59576,0.93582,1.56163,0.87029,0.00432,0,0.0034974,0.0011658,0.0034974,0.0011658,0.0034974,0.0011658,0.0034974,0.0011658
12,98.7576,0.81244,1.10938,1.05935,0.00279,0.6924,0.85794,0.80542,0.89364,0.68399,0.85794,0.80542,0.89925,0.62333,0.92949,1.58849,0.77862,0.00436,0,0.0036309,0.0012103,0.0036309,0.0012103,0.0036309,0.0012103,0.0036309,0.0012103
13,105.902,0.80966,1.06148,0.90786,0.00251,0.56586,0.89847,0.88523,0.92661,0.72268,0.89847,0.88523,0.91959,0.63421,0.89039,1.55649,0.61283,0.00412,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,112.733,0.80355,0.93505,0.90615,0.00257,0.5882,0.92208,0.86667,0.94701,0.75041,0.92208,0.86667,0.94701,0.65225,0.83693,1.47834,0.7707,0.0039,0,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,119.575,0.76358,1.10541,0.75925,0.00239,0.50182,0.96673,0.86667,0.96078,0.78727,0.96673,0.86667,0.96078,0.66422,0.81504,1.42073,0.57802,0.00372,0,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,126.564,0.71835,1.00112,0.73466,0.00237,0.43829,0.98413,0.9,0.95859,0.77784,0.98413,0.9,0.95859,0.67254,0.79505,1.36562,0.55441,0.00337,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,133.344,0.74879,0.96394,0.65976,0.0023,0.32131,0.98689,0.9,0.96315,0.79023,0.98689,0.9,0.96315,0.66582,0.7927,1.35304,0.47772,0.00333,0,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,140.166,0.69188,0.94195,0.68739,0.00224,0.41836,0.98817,0.9,0.96148,0.78286,0.98817,0.9,0.96148,0.66777,0.81396,1.39889,0.43711,0.00327,0,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,147.524,0.70906,0.91,0.56156,0.00209,0.37656,0.95725,0.9,0.95658,0.78868,0.95725,0.9,0.95658,0.662,0.78826,1.39477,0.41806,0.00317,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,154.387,0.75728,0.93613,0.6149,0.00243,0.36147,0.99054,0.86667,0.95863,0.78918,0.99054,0.86667,0.95863,0.65894,0.77164,1.42107,0.4757,0.00311,0,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,168.399,0.63245,0.89444,0.48145,0.00245,0.29294,0.99496,0.83333,0.94802,0.80274,0.99496,0.83333,0.94549,0.66613,0.7251,1.40102,0.43936,0.00296,0,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,175.166,0.66697,0.93135,0.47314,0.00278,0.33001,1,0.7975,0.94856,0.806,1,0.7975,0.94596,0.6595,0.71858,1.39246,0.53694,0.00298,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,181.842,0.63838,0.89338,0.49629,0.00242,0.30133,0.96097,0.82106,0.95098,0.81743,0.96097,0.82106,0.95098,0.6677,0.72556,1.38785,0.44737,0.00303,0,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
